<BR><BR> INFO 2023-04-21 15:58:48,869 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutdown complete.
<BR><BR>DEBUG 2023-04-21 15:58:48,869 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 15:58:48,869 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 15:58:48,869 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 15:58:48,869 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 15:58:48,869 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 15:58:48,869 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 15:58:48,869 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 15:58:48,869 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 15:58:48,869 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 15:58:49,920 megasoft.ActionServlet - Iniciando el Logger desde el Action Servlet
<BR><BR>ERROR 2023-04-21 15:59:28,748 models.bcv.intervencion_operacion.Browse - Ha ocurrido un error al momento de enviar, revise los datos null
<BR><BR>DEBUG 2023-04-22 09:23:01,187 megasoft.ActionServlet - Iniciando el Logger desde el Action Servlet
<BR><BR>ERROR 2023-04-22 09:24:17,465 models.bcv.mesas_lectura.LeerarchivoMenudeo - LecturaCargaMesa : leerCargaGeneral() java.lang.Exception: db.get: ORA-00942: table or view does not exist
; SQL=select msc_user_id from msc_user where userid='NM11383'
<BR><BR>ERROR 2023-04-22 09:24:17,467 models.bcv.mesas_lectura.LeerarchivoMenudeo - LecturaCargaMesa : finalizarProceso()java.lang.NullPointerException
<BR><BR>DEBUG 2023-04-22 09:37:02,504 megasoft.ActionServlet - Iniciando el Logger desde el Action Servlet
<BR><BR>ERROR 2023-04-22 09:37:39,113 models.bcv.mesas_lectura.LeerarchivoMenudeo - LecturaCargaMesa : leerCargaGeneral() java.lang.Exception: db.get: ORA-00942: table or view does not exist
; SQL=select msc_user_id from msc_user where userid='NM11383'
<BR><BR>ERROR 2023-04-22 09:37:39,115 models.bcv.mesas_lectura.LeerarchivoMenudeo - LecturaCargaMesa : finalizarProceso()java.lang.NullPointerException
<BR><BR> INFO 2023-04-22 09:40:12,213 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutting down.
<BR><BR> INFO 2023-04-22 09:40:12,213 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED paused.
<BR><BR>DEBUG 2023-04-22 09:40:12,213 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:40:12,213 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:40:12,213 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:40:12,214 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:40:12,214 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:40:12,214 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:40:12,214 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR> INFO 2023-04-22 09:40:12,214 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutdown complete.
<BR><BR>DEBUG 2023-04-22 09:40:12,214 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:40:12,213 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:40:12,214 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:40:17,025 megasoft.ActionServlet - Iniciando el Logger desde el Action Servlet
<BR><BR>ERROR 2023-04-22 09:42:17,601 models.bcv.mesas_lectura.LeerarchivoMenudeo - LecturaCargaMesa : leerCargaGeneral() java.lang.Exception: db.get: ORA-00942: table or view does not exist
; SQL=select msc_user_id from msc_user where userid='NM11383'
<BR><BR>ERROR 2023-04-22 09:42:17,602 models.bcv.mesas_lectura.LeerarchivoMenudeo - LecturaCargaMesa : finalizarProceso()java.lang.NullPointerException
<BR><BR> INFO 2023-04-22 09:43:56,108 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutting down.
<BR><BR> INFO 2023-04-22 09:43:56,108 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED paused.
<BR><BR>DEBUG 2023-04-22 09:43:56,108 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-22 09:43:56,108 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
